"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"72","2.02040816","0.05565678","0.49494949","0.0","12","3","false","Species1","8.25","12","0","0","0.74489796","false","0","Species1","2142","0.30208333"
"73","2.10204082","0.04916322","0.47572816","0.0","11","4","false","Resource3","8.90909091","11","0","0","0.7244898","false","0","Resource3","1930","0.34387352"
"75","2.10204082","0.03338517","0.47572816","0.0","10","3","false","Resource5","9.0","10","0","0","0.7244898","false","0","Resource5","1506","0.33333333"
"77","2.14285714","0.03148155","0.46666667","0.0","10","4","false","Resource6","9.1","10","0","0","0.71428571","false","0","Resource6","1492","0.35217391"
"79","2.14285714","0.03712718","0.46666667","0.0","10","4","false","Resource7","8.9","10","0","0","0.71428571","false","0","Resource7","1560","0.34347826"
"81","2.2244898","0.01986248","0.44954128","0.0","9","4","false","Resource8","10.0","9","0","0","0.69387755","false","0","Resource8","1030","0.40909091"
"83","2.2244898","0.03354059","0.44954128","0.0","9","4","false","Resource11","7.55555556","9","0","0","0.69387755","false","0","Resource11","1260","0.2979798"
"85","2.2244898","0.01944946","0.44954128","0.0","8","4","false","Resource14","9.375","8","0","0","0.69387755","false","0","Resource14","910","0.36413043"
"87","2.18367347","0.02544143","0.45794393","0.0","8","3","false","Resource15","9.5","8","0","0","0.70408163","false","0","Resource15","1128","0.35416667"
"89","2.2244898","0.02182014","0.44954128","0.0","7","3","false","Resource17","8.85714286","7","0","0","0.69387755","false","0","Resource17","878","0.32738095"
"91","2.30612245","0.01578384","0.43362832","0.0","7","4","false","Resource19","8.57142857","7","0","0","0.67346939","false","0","Resource19","690","0.34415584"
"93","2.30612245","0.01367641","0.43362832","0.0","6","4","false","Resource21","9.33333333","6","0","0","0.67346939","false","0","Resource21","592","0.36231884"
"95","2.3877551","0.00379677","0.41880342","0.0","4","4","false","Resource25","10.75","4","0","0","0.65306122","false","0","Resource25","216","0.42391304"
"97","2.06122449","0.03914683","0.48514851","0.0","11","3","false","Species2","9.18181818","11","0","0","0.73469388","false","0","Species2","1822","0.34090909"
"98","1.93877551","0.06413423","0.51578947","0.0","14","3","false","Resource1","9.07142857","14","0","0","0.76530612","false","0","Resource1","2926","0.33630952"
"104","2.14285714","0.02259395","0.46666667","0.0","9","3","false","Resource9","9.66666667","9","0","0","0.71428571","false","0","Resource9","1190","0.36111111"
"106","2.14285714","0.03427776","0.46666667","0.0","9","3","false","Resource10","8.11111111","9","0","0","0.71428571","false","0","Resource10","1298","0.2962963"
"110","2.34693878","0.01148592","0.42608696","0.0","7","4","false","Resource18","9.71428571","7","0","0","0.66326531","false","0","Resource18","596","0.41496599"
"113","2.06122449","0.0394388","0.48514851","0.0","11","3","false","Species3","8.72727273","11","0","0","0.73469388","false","0","Species3","1654","0.3219697"
"115","2.10204082","0.03003857","0.47572816","0.0","10","3","false","Resource4","9.0","10","0","0","0.7244898","false","0","Resource4","1346","0.33333333"
"120","2.14285714","0.02418482","0.46666667","0.0","9","3","false","Resource12","9.0","9","0","0","0.71428571","false","0","Resource12","1074","0.33333333"
"122","2.14285714","0.03452128","0.46666667","0.0","9","3","false","Resource13","8.22222222","9","0","0","0.71428571","false","0","Resource13","1298","0.30092593"
"125","2.18367347","0.02295164","0.45794393","0.0","8","3","false","Resource16","8.875","8","0","0","0.70408163","false","0","Resource16","998","0.328125"
"129","2.10204082","0.03937671","0.47572816","0.0","11","4","false","Species4","8.90909091","11","0","0","0.7244898","false","0","Species4","1668","0.34387352"
"131","2.06122449","0.04944725","0.48514851","0.0","11","3","false","Resource2","8.18181818","11","0","0","0.73469388","false","0","Resource2","1816","0.29924242"
"139","2.30612245","0.01283453","0.43362832","0.0","6","4","false","Resource20","9.0","6","0","0","0.67346939","false","0","Resource20","496","0.34782609"
"142","2.42857143","0.00505544","0.41176471","0.0","5","4","false","Resource24","9.8","5","0","0","0.64285714","false","0","Resource24","270","0.41904762"
"144","2.10204082","0.04136227","0.47572816","0.0","11","4","false","Species5","8.54545455","11","0","0","0.7244898","false","0","Species5","1646","0.32806324"
"156","2.10204082","0.03633504","0.47572816","0.0","10","3","false","Species6","8.8","10","0","0","0.7244898","false","0","Species6","1414","0.325"
"167","2.10204082","0.04196759","0.47572816","0.0","10","3","false","Species7","8.3","10","0","0","0.7244898","false","0","Species7","1634","0.30416667"
"176","2.59183673","0.00855629","0.38582677","0.0","5","4","false","Resource23","7.4","5","0","0","0.60204082","false","0","Resource23","308","0.37647059"
"179","2.18367347","0.02242096","0.45794393","0.0","9","4","false","Species8","9.44444444","9","0","0","0.70408163","false","0","Species8","1120","0.36714976"
"189","2.14285714","0.03116847","0.46666667","0.0","9","3","false","Species9","8.0","9","0","0","0.71428571","false","0","Species9","1118","0.29166667"
"199","2.14285714","0.02449201","0.46666667","0.0","9","3","false","Species10","9.77777778","9","0","0","0.71428571","false","0","Species10","1192","0.36574074"
"209","2.14285714","0.0366152","0.46666667","0.0","9","3","false","Species11","8.88888889","9","0","0","0.71428571","false","0","Species11","1594","0.3287037"
"217","2.55102041","0.01314518","0.392","0.0","5","4","false","Resource22","6.2","5","0","0","0.6122449","false","0","Resource22","372","0.28888889"
"220","2.14285714","0.02542678","0.46666667","0.0","9","3","false","Species12","9.44444444","9","0","0","0.71428571","false","0","Species12","1202","0.35185185"
"230","2.2244898","0.02542947","0.44954128","0.0","9","4","false","Species13","9.11111111","9","0","0","0.69387755","false","0","Species13","1154","0.36868687"
"240","2.2244898","0.02143368","0.44954128","0.0","9","4","false","Species14","9.33333333","9","0","0","0.69387755","false","0","Species14","982","0.37878788"
"250","2.18367347","0.02379088","0.45794393","0.0","9","4","false","Species15","9.44444444","9","0","0","0.70408163","false","0","Species15","1052","0.36714976"
"260","2.30612245","0.0170837","0.43362832","0.0","7","4","false","Species16","9.28571429","7","0","0","0.67346939","false","0","Species16","912","0.37662338"
"268","2.30612245","0.01512322","0.43362832","0.0","7","4","false","Species17","8.85714286","7","0","0","0.67346939","false","0","Species17","678","0.35714286"
"276","2.26530612","0.01578068","0.44144144","0.0","7","4","false","Species18","9.42857143","7","0","0","0.68367347","false","0","Species18","752","0.36645963"
"284","2.26530612","0.02366607","0.44144144","0.0","7","4","false","Species19","8.14285714","7","0","0","0.68367347","false","0","Species19","896","0.31055901"
"292","2.34693878","0.01099795","0.42608696","0.0","6","4","false","Species20","8.83333333","6","0","0","0.66326531","false","0","Species20","506","0.35606061"
"299","2.26530612","0.01596469","0.44144144","0.0","6","3","false","Species21","8.66666667","6","0","0","0.68367347","false","0","Species21","658","0.31944444"
"306","2.26530612","0.01456452","0.44144144","0.0","6","3","false","Species22","9.33333333","6","0","0","0.68367347","false","0","Species22","746","0.34722222"
"313","2.46938776","0.01163563","0.40495868","0.0","5","4","false","Species23","6.8","5","0","0","0.63265306","false","0","Species23","464","0.29"
"319","2.55102041","0.00677541","0.392","0.0","4","4","false","Species24","7.75","4","0","0","0.6122449","false","0","Species24","266","0.35526316"
"324","2.59183673","0.00210175","0.38582677","0.0","3","4","false","Species25","10.0","3","0","0","0.60204082","false","0","Species25","96","0.47368421"
